리뷰ID,리뷰텍스트,작성일,상품카테고리,평점
R039,조립 설명서가 영어로만 되어 있어서 불편했어요. 한글 설명서 좀 넣어주세요.,2026-01-08,가구,2
R040,일단 써보고 추가 리뷰 올리겠습니다. 첫인상은 나쁘지 않아요. 포장은 깔끔했어요.,2026-01-09,가전,3
R041,생각보다 무거워서 벽에 못 걸겠어요. 무게 정보가 상세 페이지에 안 적혀 있었어요.,2026-01-10,가구,2
R042,시어머니가 좋아하시는 브랜드라 샀어요. 역시 맛있다고 하시네요. 매번 감사합니다.,2026-01-11,식품,5
R043,같은 가격대 다른 제품 써봤는데 이게 제일 나아요. 가성비랑 내구성 둘 다 잡았어요.,2026-01-12,생활용품,5
R044,환불 규정이 너무 까다로워요. 미개봉인데 교환 안 된다니 이해가 안 됩니다.,2026-01-13,의류,1
R045,사은품으로 받은 파우치가 의외로 실용적이에요. 본품도 만족하고 사은품도 좋고 일석이조네요.,2026-01-14,생활용품,4
R046,리뷰 사진이랑 실물이 똑같아서 신뢰가 갑니다. 다른 쇼핑몰에서는 이런 경우가 드문데.,2026-01-15,의류,4
R047,새벽배송으로 받았는데 정말 편하네요. 아침에 현관에서 바로 가져다 쓸 수 있어서 좋아요.,2026-01-16,식품,5
R048,제품 자체는 좋은데 가격이 너무 올랐어요. 작년에는 2만원이었는데 지금 3만5천원이에요.,2026-01-17,생활용품,3
R049,아이 방에 놓으려고 샀는데 모서리가 날카로워요. 어린이 가구라고 광고하면서 안전 처리가 안 되어 있네요.,2026-01-18,가구,1
R050,올해 산 것 중 최고 만족 제품입니다. 주변에 적극 추천 중이에요!,2026-01-19,가전,5
