나이,성별,연소득,근속연수,주거형태,신용점수,기존대출건수,연간카드사용액,부채비율,대출신청액,대출목적,상환방식,대출기간,승인여부
40,남,3800,1,자가,461,1,980,31.3,4600,주택구입,원리금균등,24,0
46,남,3700,13,자가,579,0,1790,54.9,3700,주택구입,원리금균등,24,0
33,남,3300,4,자가,683,2,2160,41.0,1800,사업자금,원리금균등,12,1
36,여,2100,11,월세,467,0,500,19.8,3400,전세자금,원금균등,36,1
28,여,2200,1,전세,662,1,370,31.4,3500,전세자금,원리금균등,60,0
27,여,2300,2,월세,512,1,680,31.5,2800,사업자금,원금균등,24,0
45,여,3800,6,자가,570,1,2800,23.7,4600,자동차,원리금균등,48,1
50,여,4300,19,전세,551,0,2780,43.9,2500,생활비,원리금균등,24,1
37,남,3700,5,자가,500,2,1870,54.9,2600,자동차,원리금균등,48,1
47,여,5000,18,전세,599,0,3530,10.3,2100,사업자금,만기일시,36,1
41,여,4900,2,전세,475,0,2040,26.9,2300,사업자금,원리금균등,60,1
32,남,2800,4,자가,531,2,2070,66.9,2700,주택구입,원리금균등,24,1
41,남,2900,9,월세,541,3,950,60.3,2700,전세자금,원금균등,36,1
51,남,3700,15,자가,760,0,1080,58.8,2600,주택구입,원리금균등,12,1
37,여,2900,10,전세,485,0,1540,46.2,4700,의료비,원금균등,36,0
52,남,4600,13,월세,619,3,1730,34.9,6300,전세자금,원리금균등,60,1
23,여,1700,0,월세,536,0,890,24.0,1500,의료비,원리금균등,48,1
45,여,2800,5,월세,467,0,930,51.5,6200,전세자금,원리금균등,48,0
38,남,3400,2,전세,598,1,1770,34.5,4200,주택구입,원리금균등,36,0
35,여,3400,10,자가,552,0,1070,12.2,1900,전세자금,원금균등,60,1
38,남,4700,6,자가,377,1,840,40.9,2500,생활비,원금균등,36,1
23,여,1800,0,월세,570,1,1250,21.3,3400,교육비,원리금균등,24,0
36,여,2900,6,월세,469,3,1970,56.0,1300,자동차,만기일시,48,0
41,남,3100,9,자가,492,4,2270,51.7,2800,자동차,원리금균등,24,0
51,여,4600,12,전세,661,1,2660,9.4,3900,사업자금,원리금균등,12,1
33,남,2700,5,전세,524,3,1510,42.8,2000,사업자금,원금균등,24,1
30,남,3800,4,전세,631,1,1840,11.1,1400,의료비,원금균등,36,1
33,남,2000,2,전세,626,1,450,45.2,3300,주택구입,원리금균등,36,0
46,남,4100,10,전세,539,1,1080,36.8,9000,자동차,원금균등,24,0
40,여,4000,8,월세,643,0,1290,23.0,2100,사업자금,원리금균등,48,1
33,여,3200,6,자가,501,2,2180,36.6,2100,의료비,원금균등,48,1
42,여,8700,12,전세,825,1,2200,39.6,2700,자동차,원금균등,60,1
38,남,4300,4,자가,507,2,3020,52.2,6500,의료비,원금균등,36,0
46,남,3400,2,자가,626,1,1570,33.8,1300,사업자금,원리금균등,48,1
31,여,2800,3,전세,610,3,1620,29.0,4400,주택구입,원금균등,48,0
35,남,2100,6,월세,576,1,450,40.3,2300,전세자금,원금균등,24,1
34,여,3100,8,전세,517,2,960,33.2,2400,자동차,원리금균등,36,1
24,남,2000,0,전세,507,1,1450,25.4,1800,자동차,원리금균등,36,0
40,남,5400,1,전세,386,0,1670,31.2,2600,생활비,만기일시,12,0
40,남,3500,3,자가,567,0,1140,49.3,1800,전세자금,원리금균등,24,1
38,남,3800,1,월세,570,0,1020,20.7,2200,주택구입,원리금균등,36,1
35,여,2700,6,월세,567,0,610,34.9,800,교육비,원리금균등,24,1
25,여,4000,1,전세,307,1,1150,54.4,1200,생활비,원금균등,24,0
34,여,2800,6,전세,456,0,1490,39.0,3500,사업자금,만기일시,36,0
34,여,5500,2,월세,505,1,2320,47.2,5600,주택구입,원금균등,48,0
30,여,3600,4,전세,579,1,1730,9.9,15000,주택구입,원리금균등,48,0
36,남,4300,3,전세,581,2,960,71.4,4700,의료비,원금균등,36,1
41,남,4700,9,자가,578,2,2960,54.8,2300,주택구입,원금균등,36,1
54,남,6000,26,전세,740,0,3720,16.3,1100,생활비,원금균등,36,1
39,여,2000,3,자가,452,1,320,51.1,3900,생활비,원리금균등,24,0
40,남,3700,4,월세,605,1,1400,51.5,1400,전세자금,원금균등,24,1
37,남,4900,3,전세,601,0,930,45.4,2000,사업자금,원리금균등,48,1
23,여,2100,0,전세,551,1,1310,17.3,4600,주택구입,원리금균등,36,0
37,남,2500,3,월세,525,0,1480,59.9,3400,사업자금,원리금균등,48,1
38,남,3800,4,자가,704,0,2620,8.9,1800,생활비,만기일시,48,1
60,여,9200,12,자가,691,0,2680,38.6,1200,교육비,원리금균등,24,1
36,남,5400,7,전세,511,0,2280,19.0,3300,자동차,만기일시,36,1
40,남,4000,11,자가,614,1,1040,17.8,3500,의료비,원리금균등,36,1
37,여,4600,7,월세,641,0,1710,9.4,6300,의료비,원금균등,36,1
27,남,2600,1,월세,483,0,1200,26.3,800,주택구입,원리금균등,36,1
48,남,2900,1,자가,621,3,520,36.0,3100,전세자금,원리금균등,60,0
44,남,3400,17,전세,649,2,1960,19.9,4700,자동차,원금균등,48,1
45,남,7300,9,전세,430,5,3470,53.2,2400,생활비,원금균등,60,1
29,여,2500,2,월세,558,1,1610,47.9,1300,주택구입,원금균등,12,1
50,남,4600,18,자가,603,1,1440,30.0,1800,생활비,원금균등,24,1
25,남,2500,0,월세,567,1,1720,51.9,3000,전세자금,원금균등,12,0
43,여,7000,8,전세,685,1,5240,24.4,2300,사업자금,만기일시,24,1
57,남,9200,19,전세,702,1,6450,50.5,3400,주택구입,원리금균등,36,1
29,남,6100,4,전세,714,0,3760,43.0,5600,생활비,원리금균등,36,1
32,남,3200,3,자가,532,1,2030,55.5,2400,자동차,원리금균등,36,1
38,여,3800,6,월세,617,1,1870,21.3,5500,생활비,원리금균등,60,1
33,남,2200,7,전세,621,0,580,10.8,2800,의료비,원금균등,60,1
24,여,3500,0,월세,527,2,1940,23.4,3500,주택구입,원리금균등,24,0
38,여,2500,5,전세,612,1,1440,25.1,2800,사업자금,원리금균등,60,0
28,여,2800,2,월세,490,0,2070,3.6,3600,전세자금,원리금균등,36,0
42,여,2800,6,월세,524,1,1320,19.3,3900,생활비,원금균등,36,0
29,남,2600,2,월세,431,2,810,37.7,4100,전세자금,원리금균등,48,0
51,남,3900,14,월세,628,1,2180,16.8,3000,전세자금,원리금균등,12,1
30,여,2300,4,월세,569,1,1690,56.7,500,교육비,원금균등,60,1
35,남,3100,2,전세,635,0,790,51.3,4000,자동차,원금균등,48,0
45,남,3800,9,전세,646,2,1310,51.5,1100,생활비,원리금균등,60,1
26,남,3600,2,전세,523,1,1710,36.9,2200,주택구입,원금균등,60,1
40,여,2600,8,전세,471,2,650,27.2,900,주택구입,원리금균등,36,1
49,남,5200,11,자가,641,0,840,60.3,7000,생활비,만기일시,12,1
23,남,3700,0,월세,625,1,1300,19.6,3600,전세자금,원리금균등,24,0
39,남,3400,3,전세,609,1,2270,28.2,2500,의료비,만기일시,36,0
40,여,3000,5,자가,641,1,520,21.9,6000,전세자금,만기일시,24,0
45,여,3900,5,자가,547,1,1580,51.7,3900,자동차,원금균등,48,1
26,남,4000,1,월세,507,3,2420,40.7,3100,사업자금,원리금균등,24,0
26,남,3000,2,자가,481,2,2160,26.5,3600,교육비,원리금균등,60,0
42,남,3600,4,자가,551,0,2660,59.7,2400,주택구입,원리금균등,48,1
40,남,4700,7,자가,575,4,1890,53.6,1600,자동차,만기일시,24,1
40,여,2600,4,월세,562,2,1870,21.9,4800,교육비,원금균등,36,0
41,남,5100,3,월세,555,2,870,43.8,2800,생활비,만기일시,36,0
31,남,3700,4,전세,546,2,2210,29.2,1200,주택구입,원금균등,36,1
40,여,3400,3,월세,486,1,1820,54.0,3800,의료비,원리금균등,36,0
40,남,3200,8,자가,647,3,950,55.2,3000,자동차,원리금균등,12,1
31,남,2500,4,월세,551,0,1130,36.8,7000,주택구입,원리금균등,48,0
54,여,5800,7,자가,579,0,1320,35.2,3400,사업자금,원리금균등,36,1
42,남,6200,7,자가,537,1,4170,20.0,1600,전세자금,원금균등,48,1
27,여,2100,3,전세,429,1,760,27.1,1200,전세자금,만기일시,48,1
43,남,5000,1,전세,659,1,2620,24.2,5600,주택구입,원금균등,24,1
29,남,1600,2,월세,570,1,390,26.9,2900,주택구입,만기일시,12,0
45,남,3800,18,자가,498,0,1040,41.9,1900,사업자금,만기일시,48,1
48,남,4800,12,월세,669,1,3570,37.4,2000,자동차,원리금균등,60,1
30,여,2100,4,전세,614,1,1260,20.0,5700,교육비,원리금균등,36,0
46,남,3500,16,자가,624,5,2540,56.4,3700,생활비,원금균등,24,0
41,남,3400,12,전세,721,1,1110,19.8,5100,자동차,원리금균등,24,1
45,여,4500,11,전세,617,2,1110,52.7,3300,주택구입,원리금균등,24,1
55,남,5100,17,월세,522,2,2300,59.5,1900,전세자금,원리금균등,36,1
35,남,1800,3,전세,562,2,800,25.3,7300,교육비,만기일시,36,0
31,여,1500,3,전세,549,2,380,37.8,2400,전세자금,원리금균등,48,0
29,남,2600,4,전세,497,1,1530,47.7,4400,생활비,원금균등,24,0
30,남,3700,5,전세,607,2,1350,46.3,5100,생활비,원금균등,12,0
37,여,1500,6,월세,411,0,390,28.7,3000,전세자금,원금균등,36,0
41,남,3600,7,자가,650,1,1250,45.5,1700,자동차,원금균등,60,1
40,여,3100,4,월세,480,2,1510,16.2,2100,의료비,원금균등,36,1
45,여,6300,12,전세,544,1,3690,22.5,4200,자동차,원리금균등,60,1
38,여,3100,1,전세,526,3,1360,48.4,3900,교육비,원리금균등,36,0
51,남,5700,6,월세,621,4,2650,29.4,5700,자동차,만기일시,24,0
35,남,3800,5,전세,576,2,880,34.7,5300,교육비,원리금균등,24,0
62,여,3000,16,자가,550,1,2090,33.3,1800,생활비,원금균등,48,1
43,남,5500,8,자가,554,0,3880,41.3,6100,교육비,원리금균등,36,1
30,남,3400,2,자가,453,0,1900,3.0,1700,전세자금,원리금균등,36,1
28,여,3000,0,월세,512,0,480,13.7,4000,교육비,만기일시,48,0
42,남,13900,13,전세,790,1,6560,39.9,10000,생활비,원금균등,48,1
35,남,1900,3,월세,533,0,1000,26.4,3500,자동차,원리금균등,12,0
44,남,7500,9,자가,688,0,5600,50.5,1200,자동차,만기일시,48,1
42,남,3900,14,자가,725,0,2910,21.6,2500,의료비,원금균등,36,1
37,여,3700,8,자가,529,0,2450,57.0,8800,자동차,원리금균등,36,0
30,남,3100,6,전세,546,4,580,38.4,2700,전세자금,원금균등,36,1
24,남,2300,0,월세,696,0,1660,29.5,5800,사업자금,원리금균등,36,0
33,남,2900,3,전세,659,0,1500,64.2,1800,주택구입,원금균등,24,1
45,여,4600,15,자가,487,1,2900,27.1,2500,생활비,원리금균등,36,1
39,남,2500,6,월세,585,1,980,34.5,2600,주택구입,원리금균등,36,1
26,남,3500,0,월세,535,0,1190,34.1,7900,주택구입,원금균등,36,0
39,여,3200,13,자가,663,5,1360,64.6,2500,전세자금,만기일시,12,0
41,여,2700,4,월세,487,1,640,51.9,1100,교육비,원금균등,24,0
30,남,2800,3,전세,475,2,1010,41.6,9800,교육비,원리금균등,24,0
39,남,5800,6,자가,533,3,3850,55.2,3300,생활비,만기일시,36,0
38,남,3300,8,자가,527,2,570,38.7,4100,생활비,원금균등,60,0
27,남,3200,1,전세,602,0,760,30.2,1300,주택구입,원금균등,24,1
41,여,3000,1,자가,440,1,670,50.1,3400,주택구입,원리금균등,36,0
43,남,5500,10,자가,555,1,2150,46.7,3000,생활비,만기일시,36,1
47,여,5300,11,자가,464,2,3960,36.5,1800,전세자금,만기일시,48,1
47,남,8200,3,전세,677,0,2080,48.5,4100,사업자금,원금균등,12,1
25,남,2600,1,월세,632,1,610,29.6,1200,사업자금,만기일시,24,1
29,남,3800,0,월세,511,2,2650,26.5,1800,전세자금,원리금균등,24,0
42,남,4400,10,자가,570,2,2980,59.9,5400,주택구입,만기일시,60,0
42,여,5700,2,자가,603,0,960,40.3,2000,자동차,원리금균등,36,1
42,남,3400,9,자가,696,0,2040,15.8,2300,자동차,원리금균등,24,1
65,남,7900,21,자가,716,2,4290,55.4,3100,주택구입,원금균등,24,1
43,남,4100,8,전세,525,1,2500,43.7,2400,생활비,원금균등,24,1
48,여,4300,19,전세,508,2,1920,20.2,4200,주택구입,원리금균등,24,1
46,남,4800,0,전세,458,2,3570,34.7,3200,생활비,원리금균등,48,0
43,남,4700,12,전세,612,2,820,44.1,1400,전세자금,원리금균등,36,1
35,여,3100,5,전세,503,0,900,46.4,2000,생활비,원리금균등,36,1
44,여,4300,13,자가,623,1,1660,49.6,1900,전세자금,원리금균등,36,1
31,남,5300,6,전세,538,2,2220,51.3,2300,주택구입,원리금균등,36,1
35,남,4900,5,전세,489,1,3440,21.2,3100,자동차,원리금균등,24,1
33,여,4000,4,자가,465,3,1940,48.0,3400,생활비,만기일시,36,0
38,여,3000,11,전세,709,2,530,28.4,900,사업자금,원금균등,48,1
58,여,4000,9,자가,656,3,1570,67.6,5000,생활비,원리금균등,24,1
23,여,2900,0,자가,667,0,1150,43.6,2800,생활비,만기일시,36,1
44,남,5800,10,월세,651,1,4220,24.7,1700,교육비,원금균등,60,1
23,남,4000,0,월세,505,1,2030,21.4,4800,사업자금,원리금균등,24,0
33,남,2900,1,자가,639,0,1540,37.5,1000,생활비,원리금균등,60,1
47,남,4400,2,자가,551,0,2540,9.5,1300,사업자금,원리금균등,12,1
38,여,2100,4,월세,558,2,1280,33.3,8600,사업자금,원리금균등,36,0
28,남,2700,2,전세,533,1,1430,41.2,3200,전세자금,원리금균등,36,1
31,남,4400,4,전세,328,3,1280,57.5,2000,전세자금,원리금균등,36,0
44,남,3900,4,자가,687,1,2630,48.6,3100,교육비,원리금균등,12,1
31,남,4000,0,자가,579,4,2350,57.6,2700,주택구입,원금균등,48,0
39,여,3400,14,월세,630,1,2020,58.1,3000,전세자금,원리금균등,60,1
38,남,4300,4,월세,558,1,3210,50.1,3800,주택구입,원금균등,24,0
32,여,2100,6,자가,564,3,1320,45.1,2700,자동차,원금균등,60,0
57,남,5800,6,자가,540,0,3750,50.1,3500,교육비,만기일시,36,1
43,여,1600,7,자가,600,1,1150,20.1,2700,교육비,원리금균등,60,0
23,여,2000,0,자가,415,3,480,44.9,1900,자동차,만기일시,24,0
39,남,2400,13,월세,603,0,1070,29.2,1700,의료비,원금균등,48,1
32,여,4300,2,전세,597,4,2140,63.3,5800,사업자금,원금균등,12,0
45,남,5700,2,전세,551,0,1980,12.3,4100,자동차,원금균등,60,1
30,여,3200,5,월세,586,3,2090,50.5,5000,의료비,원리금균등,48,0
36,남,5900,4,월세,499,0,3580,5.1,3000,생활비,만기일시,36,0
42,남,3200,14,월세,524,2,1860,44.1,3300,사업자금,원리금균등,24,0
45,남,7700,13,자가,660,1,5760,16.3,2700,자동차,원금균등,48,1
27,여,3300,2,전세,597,1,1000,57.0,5300,교육비,원리금균등,36,0
34,여,2900,6,전세,409,1,1710,39.2,2500,교육비,원리금균등,36,0
33,여,4300,2,전세,594,1,2060,51.3,1800,교육비,원금균등,36,1
32,여,2100,2,월세,487,1,700,41.7,3800,의료비,만기일시,48,0
53,남,4100,12,전세,585,0,1010,18.0,2700,전세자금,원리금균등,36,1
41,남,3500,11,월세,482,4,2400,37.3,3300,생활비,만기일시,12,0
26,남,2400,1,전세,460,1,1210,40.8,4200,생활비,원금균등,60,0
46,남,3400,1,월세,616,0,2190,30.4,2200,전세자금,원리금균등,36,1
57,남,8100,17,자가,668,1,3860,27.7,2600,전세자금,원리금균등,36,1
47,남,4400,8,월세,553,1,1240,57.8,2500,전세자금,원금균등,24,1
24,여,2500,0,전세,515,1,880,31.3,5700,전세자금,원리금균등,60,0
33,남,2900,3,전세,583,0,1090,9.9,3000,교육비,원리금균등,24,1
49,남,2800,9,전세,608,1,2050,54.7,3200,주택구입,원리금균등,36,0
31,남,3600,3,전세,544,2,550,50.1,1600,교육비,원리금균등,60,1
41,여,2100,11,전세,663,3,1550,57.6,4300,교육비,원금균등,12,0
44,남,4300,3,월세,635,1,3170,37.0,3700,전세자금,원리금균등,48,0
29,남,2000,2,전세,563,0,1490,12.6,1900,전세자금,원리금균등,36,0
37,남,7000,2,전세,584,1,3050,63.4,7800,자동차,원리금균등,48,1
23,남,3400,0,자가,586,1,2470,19.0,3500,자동차,원리금균등,36,1
28,여,2700,2,월세,562,1,1040,24.2,2100,주택구입,원리금균등,48,1
35,남,5300,2,전세,647,1,870,31.4,2900,생활비,원금균등,24,1
26,여,1900,1,전세,595,0,540,17.0,2400,주택구입,원금균등,12,0
52,남,6100,14,자가,549,0,4370,53.5,6400,생활비,원리금균등,60,1
25,여,2500,0,월세,438,0,390,32.2,4700,주택구입,원리금균등,12,0
34,남,3800,4,자가,501,2,1810,21.6,3700,주택구입,원리금균등,48,0
39,남,5900,1,자가,642,0,1150,13.9,7000,사업자금,원리금균등,24,1
50,여,5700,5,전세,455,2,1830,23.8,1700,의료비,원금균등,36,1
25,남,3000,0,전세,561,2,600,21.8,4400,사업자금,원리금균등,48,0
48,여,2700,7,자가,591,3,1790,29.4,3900,교육비,원리금균등,24,0
38,남,2900,1,전세,627,1,1460,31.4,2600,자동차,원금균등,60,1
29,남,3000,1,자가,549,4,2070,80.2,2600,자동차,원리금균등,36,0
42,남,4400,6,자가,466,0,2470,21.8,4700,전세자금,원금균등,36,1
39,여,2500,11,자가,503,1,1830,13.3,4500,주택구입,원리금균등,48,0
32,남,7000,5,전세,500,1,3190,64.3,1400,교육비,원리금균등,36,1
38,남,6200,6,전세,548,2,3300,40.3,7400,교육비,원금균등,36,0
34,여,3800,6,월세,553,0,1880,43.7,5300,전세자금,원금균등,48,0
39,남,4100,11,전세,502,3,1800,41.7,2600,생활비,원리금균등,36,1
43,여,3700,3,자가,669,0,2430,32.6,2000,자동차,원금균등,24,1
52,남,3900,21,자가,537,1,2090,16.7,5200,주택구입,원금균등,48,0
26,여,2500,2,전세,642,2,1570,42.6,3800,생활비,만기일시,48,0
57,남,6100,20,월세,755,1,3790,35.5,4200,자동차,원금균등,36,1
23,남,1700,0,전세,588,2,440,40.6,3900,전세자금,만기일시,36,0
36,여,3700,3,전세,496,1,1990,44.2,5500,사업자금,원리금균등,48,0
43,여,3800,13,자가,630,1,1020,62.1,4600,교육비,원리금균등,36,1
40,여,2100,7,전세,453,2,1040,74.7,2200,전세자금,원리금균등,36,0
32,남,2600,4,전세,618,0,1440,18.4,2200,전세자금,원리금균등,60,1
36,여,2900,9,전세,568,1,2170,28.3,3500,주택구입,원리금균등,24,0
33,남,6100,3,월세,543,2,1020,38.1,9400,주택구입,원금균등,36,0
32,여,3500,5,전세,462,0,710,21.2,2700,자동차,원리금균등,60,1
45,여,2800,16,자가,409,0,540,29.4,3500,전세자금,원금균등,48,0
41,남,4800,14,자가,534,1,1860,75.1,4600,생활비,원리금균등,60,1
31,여,1800,2,전세,617,1,1150,42.9,2400,생활비,원리금균등,36,0
46,남,6400,7,전세,566,5,4200,37.5,4400,전세자금,원리금균등,24,1
40,남,3500,10,전세,571,0,2070,47.0,3000,전세자금,원리금균등,60,1
45,남,4400,17,전세,681,0,3020,5.0,5600,사업자금,원리금균등,36,1
43,남,6500,4,전세,729,2,2230,33.1,1800,전세자금,원금균등,48,1
30,남,2100,4,월세,647,3,420,39.1,9500,생활비,원리금균등,24,0
32,여,1900,3,전세,456,2,350,37.8,2500,전세자금,원리금균등,48,0
44,여,3400,15,전세,453,1,2240,29.0,3800,교육비,원금균등,36,0
43,여,5400,4,자가,762,0,3170,7.6,3000,생활비,원리금균등,24,1
37,남,2400,10,전세,755,3,1360,62.5,1700,사업자금,원리금균등,36,1
39,여,1500,10,월세,580,1,530,51.0,4500,사업자금,원리금균등,48,0
49,남,4300,8,자가,481,0,1620,34.8,2600,자동차,원리금균등,12,1
32,남,4000,1,월세,622,1,2890,25.1,3900,생활비,원금균등,36,0
42,남,6100,10,전세,602,0,1140,52.0,2000,의료비,만기일시,36,1
36,남,3200,5,자가,547,1,1960,39.3,2600,사업자금,원금균등,24,0
36,여,2900,1,전세,605,3,970,81.9,2500,교육비,원리금균등,48,0
47,남,6700,17,자가,678,1,1160,17.7,3900,주택구입,원금균등,36,1
45,남,2600,7,월세,466,2,1540,40.5,3400,자동차,원리금균등,24,0
45,여,3700,15,월세,586,2,1280,42.6,2700,자동차,원리금균등,36,1
49,여,4800,13,자가,665,1,2790,53.2,2400,전세자금,원리금균등,48,1
38,남,4500,10,자가,635,0,2580,12.4,3500,전세자금,원금균등,60,1
44,남,3800,0,전세,558,1,1780,38.1,3300,사업자금,원금균등,24,0
35,남,3700,5,전세,636,2,2280,41.1,3100,생활비,원금균등,36,1
40,남,1900,14,자가,560,1,940,17.3,8000,자동차,원금균등,12,0
36,남,3000,3,전세,559,0,960,19.3,3900,생활비,원리금균등,48,1
38,남,4500,6,전세,304,0,2650,36.5,7800,생활비,원리금균등,36,0
43,남,3200,3,자가,511,1,1610,43.6,2800,사업자금,원금균등,48,1
30,여,2800,6,월세,619,1,440,13.2,2900,생활비,원금균등,36,1
56,남,6300,10,월세,581,2,4350,20.3,2300,의료비,원금균등,48,1
28,남,2700,2,월세,499,1,1280,25.6,3400,교육비,원리금균등,36,0
27,남,3100,2,월세,457,0,2080,38.2,2500,사업자금,원금균등,60,0
48,남,3600,13,자가,681,1,2440,22.9,2300,자동차,원리금균등,12,1
45,남,4300,5,자가,611,0,1790,30.4,1100,교육비,원금균등,36,1
43,남,5200,10,자가,668,0,2360,57.6,6200,주택구입,원리금균등,48,1
43,남,4600,8,전세,447,1,1830,52.1,2400,교육비,만기일시,36,1
37,남,3200,1,월세,524,0,1340,23.3,6200,생활비,원리금균등,12,0
29,남,3300,0,월세,510,1,2260,61.9,2800,전세자금,원금균등,60,0
38,여,4300,7,월세,555,2,2670,32.4,4100,사업자금,원금균등,24,0
31,남,1700,0,전세,467,3,380,22.2,3100,자동차,원리금균등,24,0
46,여,6000,8,자가,572,3,3090,77.3,3600,생활비,원리금균등,36,1
36,여,3000,2,전세,607,0,2240,30.4,1800,주택구입,원금균등,36,1
30,남,3600,3,자가,397,2,1820,27.0,5400,사업자금,원리금균등,48,0
35,남,5200,7,자가,729,3,3230,65.1,2400,주택구입,원리금균등,36,1
41,남,2700,10,전세,615,2,1650,34.4,4700,자동차,만기일시,36,0
32,남,2700,5,전세,548,1,970,15.4,1400,사업자금,원금균등,36,1
30,남,2900,3,전세,616,1,1080,27.4,2000,주택구입,원리금균등,36,1
40,남,3200,10,전세,465,0,1870,9.8,3600,생활비,원금균등,60,1
40,남,6900,8,자가,555,2,3100,62.7,2700,사업자금,원리금균등,60,1
33,여,2300,3,전세,528,0,1130,44.5,3700,전세자금,원금균등,36,0
33,여,2600,0,전세,635,1,1500,30.5,3300,생활비,원금균등,12,1
40,여,3900,12,자가,595,1,2400,31.2,7400,주택구입,원금균등,60,0
24,남,1800,1,월세,559,2,560,44.1,3900,주택구입,원리금균등,24,0
25,여,2100,0,전세,473,0,490,36.8,2400,생활비,원금균등,24,0
